target_contact_id,subordinate_contact_id
C67CF7F0-7E38-ED11-9DB1-0022489CA4D1,0B92FE31-6738-ED11-9DB1-0022489CA4D1
391AE127-7338-ED11-9DB1-0022489CA4D1,F189D7A5-6038-ED11-9DB1-0022489CA4D1
C9AB6145-7838-ED11-9DB1-0022489CA4D1,2C06D888-6E38-ED11-9DB1-0022489CA4D1
FA49F56D-7138-ED11-9DB1-0022489CA4D1,F4D04909-5E38-ED11-9DB1-0022489CA4D1
92E641D1-7538-ED11-9DB1-0022489CA4D1,A518D430-5C38-ED11-9DB1-0022489CA4D1
92E641D1-7538-ED11-9DB1-0022489CA4D1,DAB63673-6838-ED11-9DB1-0022489CA4D1
A9422527-7A38-ED11-9DB1-0022489CA4D1,CF5D4E99-6038-ED11-9DB1-0022489CA4D1
A9422527-7A38-ED11-9DB1-0022489CA4D1,9CBBDF82-6E38-ED11-9DB1-0022489CA4D1
06464E0F-7538-ED11-9DB1-0022489CA4D1,915C4E99-6038-ED11-9DB1-0022489CA4D1
47D2DE56-6D38-ED11-9DB1-0022489CA4D1,C0C42893-6038-ED11-9DB1-0022489CA4D1
6327D8DB-7638-ED11-9DB1-0022489CA4D1,790B1D6D-6838-ED11-9DB1-0022489CA4D1
6327D8DB-7638-ED11-9DB1-0022489CA4D1,6ABBDF82-6E38-ED11-9DB1-0022489CA4D1
76A0FCAA-6A38-ED11-9DB1-0022489CA4D1,C08370A4-6A38-ED11-9DB1-0022489CA4D1
C5426A4C-7F38-ED11-9DB1-0022489CA4D1,45C02467-6838-ED11-9DB1-0022489CA4D1
C5426A4C-7F38-ED11-9DB1-0022489CA4D1,3829C2D7-7138-ED11-9DB1-0022489CA4D1
C5426A4C-7F38-ED11-9DB1-0022489CA4D1,29D4DAA7-7338-ED11-9DB1-0022489CA4D1
C5426A4C-7F38-ED11-9DB1-0022489CA4D1,B7F37C06-7838-ED11-9DB1-0022489CA4D1
C5426A4C-7F38-ED11-9DB1-0022489CA4D1,F19BF1CD-7C38-ED11-9DB1-0022489CA4D1
81C42893-6038-ED11-9DB1-0022489CA4D1,9918D430-5C38-ED11-9DB1-0022489CA4D1
57593D2E-7F38-ED11-9DB1-0022489CA4D1,15D27EE6-6438-ED11-9DB1-0022489CA4D1
57593D2E-7F38-ED11-9DB1-0022489CA4D1,7E31E57B-7738-ED11-9DB1-0022489CA4D1
E79B7C36-7D38-ED11-9DB1-0022489CA4D1,921D99AA-6938-ED11-9DB1-0022489CA4D1
E79B7C36-7D38-ED11-9DB1-0022489CA4D1,F6454E0F-7538-ED11-9DB1-0022489CA4D1
E79B7C36-7D38-ED11-9DB1-0022489CA4D1,0BAB6145-7838-ED11-9DB1-0022489CA4D1
A8B6F4AC-3D38-ED11-9DB1-0022489CA4D1,510B1D6D-6838-ED11-9DB1-0022489CA4D1
A8B6F4AC-3D38-ED11-9DB1-0022489CA4D1,5D0B1D6D-6838-ED11-9DB1-0022489CA4D1
AA06CAA9-7C38-ED11-9DB1-0022489CA4D1,66BFD67C-6E38-ED11-9DB1-0022489CA4D1
A5F37C06-7838-ED11-9DB1-0022489CA4D1,0FD4DAA7-7338-ED11-9DB1-0022489CA4D1
05AE0124-7E38-ED11-9DB1-0022489CA4D1,E3A9962A-5C38-ED11-9DB1-0022489CA4D1
